home,H10000,Home10000,265,2,FALSE,94340,
apartment,A10000,Apartment10000,236,6,10,2,257712
terrain,T10000,Terrain10000,102,FALSE,13770,,
home,H10001,Home10001,285,5,TRUE,255930,
apartment,A10001,Apartment10001,206,4,1,0,112476
terrain,T10001,Terrain10001,108,TRUE,11232,,
home,H10002,Home10002,379,6,FALSE,59503,
apartment,A10002,Apartment10002,140,4,10,3,153720
home,H10003,Home10003,319,4,TRUE,323785,
apartment,A10003,Apartment10003,205,6,18,0,103115
terrain,T10003,Terrain10003,132,FALSE,34584,,
home,H10004,Home10004,173,4,FALSE,76120,
apartment,A10004,Apartment10004,125,6,12,4,134750
home,H10005,Home10005,391,3,FALSE,284648,
apartment,A10005,Apartment10005,228,4,3,4,169632
terrain,T10005,Terrain10005,142,FALSE,156058,,
home,H10006,Home10006,241,5,FALSE,190872,
apartment,A10006,Apartment10006,244,3,17,1,243024
home,H10007,Home10007,342,1,TRUE,114912,
apartment,A10007,Apartment10007,181,3,6,1,101903
terrain,T10007,Terrain10007,145,FALSE,87290,,
home,H10008,Home10008,265,4,FALSE,210940,
terrain,T10008,Terrain10008,212,FALSE,154336,,
home,H10009,Home10009,304,2,FALSE,158688,
terrain,T10009,Terrain10009,181,FALSE,51404,,
home,H100010,Home100010,181,5,FALSE,57920,
home,H100011,Home100011,385,6,FALSE,75845,
home,H100012,Home100012,126,2,FALSE,93996,
apartment,A100012,Apartment100012,192,5,14,3,26304
terrain,T100012,Terrain100012,248,TRUE,25792,,
home,H100013,Home100013,202,1,FALSE,82416,
apartment,A100013,Apartment100013,119,5,11,3,98889
terrain,T100013,Terrain100013,107,TRUE,36594,,
home,H100014,Home100014,287,2,FALSE,193151,
apartment,A100014,Apartment100014,137,5,16,3,150015
terrain,T100014,Terrain100014,148,FALSE,27380,,
home,H100015,Home100015,351,1,FALSE,176553,
apartment,A100015,Apartment100015,105,5,10,3,111930
terrain,T100015,Terrain100015,208,FALSE,175760,,
home,H100016,Home100016,274,1,TRUE,207966,
apartment,A100016,Apartment100016,206,4,1,2,211768
terrain,T100016,Terrain100016,211,FALSE,229990,,
terrain,T100017,Terrain100017,117,TRUE,62361,,
home,H100018,Home100018,142,1,TRUE,42742,
apartment,A100018,Apartment100018,245,3,16,1,207025
terrain,T100018,Terrain100018,217,TRUE,164486,,
home,H100019,Home100019,380,6,TRUE,158460,
terrain,T100019,Terrain100019,113,TRUE,51189,,
home,H100020,Home100020,364,2,FALSE,191100,
apartment,A100020,Apartment100020,221,6,14,1,72267
terrain,T100020,Terrain100020,157,TRUE,102992,,
home,H100021,Home100021,347,6,FALSE,361574,
apartment,A100021,Apartment100021,105,6,8,4,54705
home,H100022,Home100022,293,6,FALSE,174628,
apartment,A100022,Apartment100022,234,6,14,0,39546
terrain,T100022,Terrain100022,126,TRUE,62874,,
home,H100023,Home100023,272,3,FALSE,115056,
apartment,A100023,Apartment100023,230,4,18,2,202170
terrain,T100023,Terrain100023,120,TRUE,21960,,
home,H100024,Home100024,330,5,TRUE,263670,
terrain,T100024,Terrain100024,107,FALSE,93518,,
home,H100025,Home100025,159,4,FALSE,163929,
apartment,A100025,Apartment100025,118,4,20,4,117764
apartment,A100026,Apartment100026,103,3,9,1,61594
terrain,T100026,Terrain100026,122,TRUE,132614,,
home,H100027,Home100027,383,6,FALSE,268100,
apartment,A100027,Apartment100027,161,4,12,0,156975
terrain,T100027,Terrain100027,222,TRUE,212898,,
home,H100028,Home100028,295,6,FALSE,80535,
apartment,A100028,Apartment100028,244,2,4,2,60268
terrain,T100029,Terrain100029,100,TRUE,66900,,
home,H100030,Home100030,289,3,FALSE,199410,
apartment,A100030,Apartment100030,105,2,4,3,67725
terrain,T100030,Terrain100030,202,FALSE,149884,,
home,H100031,Home100031,210,4,TRUE,190680,
apartment,A100031,Apartment100031,166,1,2,1,58266
terrain,T100031,Terrain100031,101,TRUE,94839,,
home,H100032,Home100032,357,1,TRUE,369138,
apartment,A100032,Apartment100032,205,1,12,3,69495
terrain,T100032,Terrain100032,196,FALSE,143864,,
home,H100033,Home100033,387,5,TRUE,132354,
apartment,A100033,Apartment100033,143,4,1,0,69355
terrain,T100033,Terrain100033,124,TRUE,20832,,
apartment,A100034,Apartment100034,159,1,14,2,150573
home,H100035,Home100035,232,2,TRUE,155440,
terrain,T100035,Terrain100035,187,TRUE,154088,,
home,H100036,Home100036,383,6,FALSE,166605,
apartment,A100036,Apartment100036,171,4,17,0,57114
terrain,T100036,Terrain100036,141,TRUE,68103,,
home,H100037,Home100037,291,2,FALSE,303804,
apartment,A100037,Apartment100037,167,1,11,2,181529
terrain,T100037,Terrain100037,118,TRUE,110094,,
home,H100038,Home100038,205,6,TRUE,78925,
apartment,A100038,Apartment100038,143,6,14,4,87373
terrain,T100038,Terrain100038,158,TRUE,100646,,
home,H100039,Home100039,244,3,TRUE,237168,
apartment,A100039,Apartment100039,141,1,8,2,19458
terrain,T100039,Terrain100039,166,TRUE,69056,,
home,H100040,Home100040,263,4,TRUE,125451,
apartment,A100040,Apartment100040,124,3,3,1,18972
terrain,T100040,Terrain100040,223,FALSE,221885,,
home,H100041,Home100041,396,4,TRUE,317592,
terrain,T100041,Terrain100041,139,FALSE,39476,,
home,H100042,Home100042,102,5,TRUE,98634,
terrain,T100042,Terrain100042,168,TRUE,150528,,
home,H100043,Home100043,327,1,TRUE,91887,
apartment,A100043,Apartment100043,161,3,20,3,158102
terrain,T100043,Terrain100043,212,TRUE,64872,,
home,H100044,Home100044,200,2,FALSE,193000,
apartment,A100044,Apartment100044,156,5,6,0,29952
terrain,T100044,Terrain100044,101,FALSE,66761,,
home,H100045,Home100045,197,1,TRUE,38809,
apartment,A100045,Apartment100045,178,2,13,3,90602
terrain,T100045,Terrain100045,236,TRUE,179596,,
apartment,A100046,Apartment100046,145,4,17,3,46980
terrain,T100046,Terrain100046,163,FALSE,84760,,
home,H100047,Home100047,324,2,TRUE,185004,
apartment,A100047,Apartment100047,190,4,13,4,135850
terrain,T100047,Terrain100047,187,FALSE,136697,,
home,H100048,Home100048,216,5,FALSE,201528,
apartment,A100048,Apartment100048,131,3,4,2,46374
terrain,T100049,Terrain100049,135,TRUE,100305,,
home,H100050,Home100050,257,3,FALSE,281415,
apartment,A100050,Apartment100050,241,2,18,1,208224
terrain,T100050,Terrain100050,244,TRUE,71736,,
apartment,A100051,Apartment100051,205,5,9,4,124640
home,H100052,Home100052,260,1,FALSE,243620,
apartment,A100052,Apartment100052,129,1,16,1,130548
terrain,T100052,Terrain100052,114,TRUE,46170,,
apartment,A100053,Apartment100053,117,6,14,0,87516
terrain,T100053,Terrain100053,116,FALSE,120292,,
